method,lambda,n_seeds,mean_reward_mean,mean_reward_std,mean_reward_stderr
bc,1.0,5,-6.2228247165679935,3.19987044745486,1.4310255679403472
forward_kl,1.0,5,-1.006283164024353,0.04508220506586209,0.0201613750205706
partial_ot,0.1,5,-1.1125695347785949,0.17989499508782725,0.0804514875656745
partial_ot,0.3,5,-1.380662751197815,0.36019747900171983,0.16108520967437973
partial_ot,1.0,5,-1.2131642818450927,0.2825604388891235,0.12636486982165107
partial_ot,3.0,5,-1.4462555170059204,0.5314176756944274,0.2376572094595355
partial_ot,10.0,5,-1.6628047943115234,0.3831320918531472,0.1713418803490661
reverse_kl,1.0,5,-1.1122626781463623,0.07770119298955915,0.03474902989149687
unbalanced_ot,0.1,5,-0.8845036029815674,0.06864520982343263,0.030699071098986338
unbalanced_ot,0.3,5,-0.9876633882522583,0.08293393660465734,0.03708918397793438
unbalanced_ot,1.0,5,-0.9281224489212037,0.09165492674045361,0.040989329332883497
unbalanced_ot,3.0,5,-0.9576650261878967,0.07589769273569827,0.03394248005848266
unbalanced_ot,10.0,5,-0.988038182258606,0.09596495548102477,0.04291683278266248
wasserstein,0.1,5,-1.4308939695358276,0.061366757538950496,0.0274440482831682
wasserstein,0.3,5,-1.4335567712783814,0.09307118618681433,0.04162269981205125
wasserstein,1.0,5,-1.4025489568710328,0.03343685854389262,0.014953417731637705
wasserstein,3.0,5,-1.3423614740371703,0.07929760903599507,0.03546296885153731
wasserstein,10.0,5,-1.358734655380249,0.09661860376242822,0.043209153180781286
