dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
3,bc,1.0,3,-3.3851331869761148,0.05143399332094063,0.10716666666666667,0.0026637484032009376,0.015799999999999998,0.0004242640687119284
3,forward_kl,1.0,3,-0.47506047288576764,0.05565763352824718,0.0,0.0,0.04973333333333333,0.007608912902350479
3,partial_ot,0.03,3,-0.11069696148236592,0.000791125379662531,0.0,0.0,0.24029999999999999,0.00177200451466693
3,partial_ot,0.05,3,-0.1112457166115443,0.0009509752894293887,0.0,0.0,0.23950000000000002,0.0030232432915662014
3,partial_ot,0.1,3,-0.11083828906218211,0.0013561014970824771,0.0,0.0,0.23956666666666668,0.002094967514996091
3,partial_ot,0.3,3,-0.1115147868792216,0.002043861158090092,0.0,0.0,0.23916666666666667,0.007916368415434508
3,partial_ot,1.0,3,-0.11423432578643163,0.0009437539942732167,0.0,0.0,0.2306,0.008006663891201297
3,unbalanced_ot,0.03,3,-0.11167743305365245,0.0005937427118835901,0.0,0.0,0.23856666666666668,0.004214525147892966
3,unbalanced_ot,0.05,3,-0.11115970214207967,0.0006131831837601207,0.0,0.0,0.2386,0.0015556349186104034
3,unbalanced_ot,0.1,3,-0.11257320642471313,0.0005575154330777513,0.0,0.0,0.23256666666666667,0.0006128258770283417
3,unbalanced_ot,0.3,3,-0.11620321869850159,0.00032241654234488575,0.0,0.0,0.22519999999999998,0.0013638181696985963
3,unbalanced_ot,1.0,3,-0.7767016887664795,0.04657920994511353,0.0004,8.164965809277262e-05,0.06146666666666667,0.002595294887976231
3,wasserstein,0.03,3,-0.11267870664596558,0.000766727313172712,0.0,0.0,0.23623333333333332,0.0035518383346593344
3,wasserstein,0.05,3,-0.11457000176111858,0.00016401638364393933,0.0,0.0,0.22586666666666666,0.0008576453553512367
3,wasserstein,0.1,3,-0.12206179896990459,0.000443029084453457,0.0,0.0,0.21419999999999997,0.0014764823060233485
3,wasserstein,0.3,3,-0.3099595407644908,0.006571444354070598,0.0,0.0,0.10486666666666666,0.0006236095644623241
3,wasserstein,1.0,3,-1.5647276639938354,0.0155492824997733,0.01693333333333333,0.0011614167593456232,0.04193333333333333,0.0007408703590297621
4,bc,1.0,3,-3.4150264263153076,0.06894528838596346,0.10553333333333333,0.004502098276236194,0.010633333333333333,0.0007930251502246882
4,forward_kl,1.0,3,-0.5264660020669302,0.03367083579068293,0.0,0.0,0.03096666666666667,0.0039885948514343855
4,partial_ot,0.03,3,-0.14718585709730783,0.0006177908371756987,0.0,0.0,0.18793333333333337,0.002673740617354061
4,partial_ot,0.05,3,-0.14716611802577972,0.000460096448844292,0.0,0.0,0.18510000000000001,0.0024344746182013584
4,partial_ot,0.1,3,-0.1479919453461965,0.0008688791744670217,0.0,0.0,0.18306666666666668,0.003974362282877032
4,partial_ot,0.3,3,-0.1483648270368576,0.0019649599291549536,0.0,0.0,0.18289999999999998,0.004648297179254641
4,partial_ot,1.0,3,-0.15095477302869162,0.0011869618841794196,0.0,0.0,0.1801,0.002839013913315673
4,unbalanced_ot,0.03,3,-0.14873060584068298,0.0004452399890705417,0.0,0.0,0.1794,0.0031633315770982066
4,unbalanced_ot,0.05,3,-0.14786378542582193,0.00048649956214450374,0.0,0.0,0.18453333333333333,0.004451466674654055
4,unbalanced_ot,0.1,3,-0.14936261375745138,0.0015767410361853145,0.0,0.0,0.1856,0.0022686266036231403
4,unbalanced_ot,0.3,3,-0.15449629227320352,0.0006554159669789927,0.0,0.0,0.17393333333333336,0.0020981473309141666
4,unbalanced_ot,1.0,3,-0.8139788309733073,0.004306647302757336,0.0006333333333333334,0.00030912061651652346,0.0511,0.005185235449491825
4,wasserstein,0.03,3,-0.14960530896981558,0.0013635531565581289,0.0,0.0,0.18226666666666666,0.003521678892548592
4,wasserstein,0.05,3,-0.15037920574347177,0.0012808045532005667,0.0,0.0,0.18046666666666666,0.0027620443314488752
4,wasserstein,0.1,3,-0.1581555257240931,0.0016638267551607998,0.0,0.0,0.16646666666666665,0.0036012343562852006
4,wasserstein,0.3,3,-0.3461996118227641,0.005679556071628025,0.0,0.0,0.07953333333333333,0.0030291179500896884
4,wasserstein,1.0,3,-1.658811330795288,0.03067165854250546,0.020599999999999997,0.0015769168230019834,0.034333333333333334,0.0014704496666741863
5,bc,1.0,3,-3.491523186365763,0.06550032727400927,0.10496666666666667,0.002894055209486429,0.007233333333333332,0.000939266853573691
5,forward_kl,1.0,3,-0.5782937506834666,0.086513429194523,0.0,0.0,0.022266666666666667,0.007310874700669467
5,partial_ot,0.03,3,-0.18397323290506998,0.0010301324374504175,0.0,0.0,0.14320000000000002,0.002758018612458351
5,partial_ot,0.05,3,-0.18399682641029358,0.0004216187968165874,0.0,0.0,0.14516666666666667,0.0042990955121074296
5,partial_ot,0.1,3,-0.18497414390246072,0.00080102908865976,0.0,0.0,0.14126666666666668,0.0031414787742222385
5,partial_ot,0.3,3,-0.18510804573694864,0.001772134166743735,0.0,0.0,0.14296666666666666,0.0031478387647541363
5,partial_ot,1.0,3,-0.1904141902923584,0.0012290154263031987,0.0,0.0,0.13633333333333333,0.0027010286106510547
5,unbalanced_ot,0.03,3,-0.18454917271931967,0.000968240819355973,0.0,0.0,0.13886666666666667,0.006107008724044495
5,unbalanced_ot,0.05,3,-0.18620054920514426,0.0006858713796607419,0.0,0.0,0.1408,0.0029631064780058186
5,unbalanced_ot,0.1,3,-0.18669426937898,0.0009348662095410342,0.0,0.0,0.14146666666666666,0.00433922676163495
5,unbalanced_ot,0.3,3,-0.1910297473271688,0.0010224292442211817,0.0,0.0,0.13520000000000001,0.0008524474568362921
5,unbalanced_ot,1.0,3,-0.855108916759491,0.023380942063375203,0.0005,0.00035590260840104375,0.0375,0.000294392028877597
5,wasserstein,0.03,3,-0.18720479806264242,0.0005407807605477881,0.0,0.0,0.1407,0.002146314670934041
5,wasserstein,0.05,3,-0.18896829088528952,0.0016248915171041406,0.0,0.0,0.13746666666666668,0.004575538826800135
5,wasserstein,0.1,3,-0.19512208799521127,0.0012672008594382398,0.0,0.0,0.13216666666666668,0.0016213848676020356
5,wasserstein,0.3,3,-0.38448071479797363,0.0031886526043720716,0.0,0.0,0.0659,0.003021037349432585
5,wasserstein,1.0,3,-1.6429497798283894,0.01767518009125467,0.0175,0.0013140268896284688,0.0252,0.000571547606649408
8,bc,1.0,3,-3.711261828740438,0.05728714620165556,0.1062,0.004040627014049508,0.0016,0.0003741657386773941
8,forward_kl,1.0,3,-0.6730951070785522,0.03318160991384505,0.0,0.0,0.009,0.0011313708498984758
8,partial_ot,0.03,3,-0.2951251169045766,0.000618188374485921,0.0,0.0,0.07386666666666668,0.0024796953217863073
8,partial_ot,0.05,3,-0.29544753829638165,0.002092035823382482,0.0,0.0,0.07413333333333333,0.002735365098523818
8,partial_ot,0.1,3,-0.2962304751078288,0.0019718783379234365,0.0,0.0,0.07136666666666666,0.0023442601296689686
8,partial_ot,0.3,3,-0.29835546016693115,0.00035698286227247574,0.0,0.0,0.0734,0.0008485281374238552
8,partial_ot,1.0,3,-0.30100316802660626,0.001988883857984571,0.0,0.0,0.06806666666666668,0.002407396011369041
8,unbalanced_ot,0.03,3,-0.29634978373845416,0.0018419545766603536,0.0,0.0,0.07223333333333333,0.0024796953217863056
8,unbalanced_ot,0.05,3,-0.2975594699382782,0.0015902705299605671,0.0,0.0,0.0721,0.003982461550347976
8,unbalanced_ot,0.1,3,-0.29608646035194397,0.0016065708108756545,0.0,0.0,0.07213333333333333,0.0032097074979228627
8,unbalanced_ot,0.3,3,-0.30155452092488605,0.00036143839692166167,0.0,0.0,0.07206666666666667,0.0034022868126534485
8,unbalanced_ot,1.0,3,-0.9285568396250407,0.021065253986207965,0.0004,0.0002943920288775949,0.01996666666666667,0.0012684198393626963
8,wasserstein,0.03,3,-0.2976859708627065,0.0009533813587666741,0.0,0.0,0.07126666666666666,0.004668571040003093
8,wasserstein,0.05,3,-0.2985216776529948,0.0006650738491051214,0.0,0.0,0.07126666666666666,0.001791337179005918
8,wasserstein,0.1,3,-0.30669737855593365,0.0003186616219622018,0.0,0.0,0.0662,0.00310268700752536
8,wasserstein,0.3,3,-0.49567463994026184,0.004587330754178751,0.0,0.0,0.03283333333333333,0.0009030811456096048
8,wasserstein,1.0,3,-1.813838799794515,0.022076380599009505,0.0213,0.0012675435561221025,0.013866666666666666,0.000776029781788188
